339465.82	585455.17	1061.24
339555.82	585455.17	1085.2
339645.82	585455.17	1110.35
339735.82	585455.17	1112.63
339825.82	585455.17	1045.86
339915.82	585455.17	972.96
339015.82	585545.17	1137.05
339105.82	585545.17	1120.81
339195.82	585545.17	1095.8
339285.82	585545.17	1073.2
339375.82	585545.17	1057.2
339465.82	585545.17	1064.52
339555.82	585545.17	1079.76
339645.82	585545.17	1100.9
339735.82	585545.17	1115.36
339825.82	585545.17	1055.02
339915.82	585545.17	990.35
340005.82	585545.17	972.21
340095.82	585545.17	945.12
338655.82	585635.17	1124.04
338745.82	585635.17	1141.59
338835.82	585635.17	1166.55
338925.82	585635.17	1173.51
339015.82	585635.17	1167.99
339105.82	585635.17	1142.09
339195.82	585635.17	1109.61
339285.82	585635.17	1079.06
339375.82	585635.17	1070.39
339465.82	585635.17	1085.8
339555.82	585635.17	1097.23
339645.82	585635.17	1109.57
339735.82	585635.17	1123.72
339825.82	585635.17	1084.1
339915.82	585635.17	1031.42
340005.82	585635.17	998.58
340095.82	585635.17	951.32
340185.82	585635.17	913.97
340275.82	585635.17	896.75
340365.82	585635.17	884.71
338295.82	585725.17	1120.04
338385.82	585725.17	1110.75
338475.82	585725.17	1095.66
338565.82	585725.17	1108.69
338655.82	585725.17	1142.94
338745.82	585725.17	1170.22
338835.82	585725.17	1197.75
338925.82	585725.17	1207.12
339015.82	585725.17	1190.68
339105.82	585725.17	1146.39
339195.82	585725.17	1106.51
339285.82	585725.17	1083.83
339375.82	585725.17	1089.54
339465.82	585725.17	1110.69
339555.82	585725.17	1128
339645.82	585725.17	1138.31
339735.82	585725.17	1144.4
339825.82	585725.17	1106.26
339915.82	585725.17	1046.47
340005.82	585725.17	1006.45
340095.82	585725.17	969.89
340185.82	585725.17	952.36
340275.82	585725.17	938.43
340365.82	585725.17	900.73
340455.82	585725.17	857.28
340545.82	585725.17	816.82
338115.82	585815.17	1078.48
338205.82	585815.17	1120.29
338295.82	585815.17	1144.82
338385.82	585815.17	1140.14
338475.82	585815.17	1125.58
338565.82	585815.17	1127.41
338655.82	585815.17	1155.35
338745.82	585815.17	1192.98
338835.82	585815.17	1221.64
